[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Nivel],[Tipo],[Cuenta de la subcuenta],[Desglose de la subcuenta],[C/D de la subcuenta],[Ultimo epigrafe],[Izquierda(3)],[Sin signo],[Orden],[Order parent]
123550,Títulos de ahorro educativo (TAE),Títulos de ahorro educativo (TAE),Asset,E,,No,,1235,,,,,,,,,,  
123555,Títulos financieros industriales y comerciales,Títulos financieros industriales y comerciales,Asset,E,,No,,1235,,,,,,,,,,  
123560,Tesoros,Tesoros,Asset,E,,No,,1235,,,,,,,,,,  
123565,Títulos de devolución de impuestos nacionales (TIDIS),Títulos de devolución de impuestos nacionales (TIDIS),Asset,E,,No,,1235,,,,,,,,,,  
123570,Títulos inmobiliarios,Títulos inmobiliarios,Asset,E,,No,,1235,,,,,,,,,,  
123595,Otros,Otros,Asset,E,,No,,1235,,,,,,,,,,  
1240,Aceptaciones bancarias o financieras,Aceptaciones bancarias o financieras,Asset,E,,Yes,,12,,,,,,,,,,  
124005,Bancos comerciales,Bancos comerciales,Asset,E,,No,,1240,,,,,,,,,,  
124010,Compañías de financiamiento comercial,Compañías de financiamiento comercial,Asset,E,,No,,1240,,,,,,,,,,  
124015,Corporaciones financieras,Corporaciones financieras,Asset,E,,No,,1240,,,,,,,,,,  
124095,Otras,Otras,Asset,E,,No,,1240,,,,,,,,,,  
1245,Derechos fiduciarios,Derechos fiduciarios,Asset,E,,Yes,,12,,,,,,,,,,  
124505,Fideicomisos de inversión moneda nacional,Fideicomisos de inversión moneda nacional,Asset,E,,No,,1245,,,,,,,,,,  
124510,Fideicomisos de inversión moneda extranjera,Fideicomisos de inversión moneda extranjera,Asset,E,,No,,1245,,,,,,,,,,  
1250,Derechos de recompra de inversiones negociadas (repos),Derechos de recompra de inversiones negociadas (repos),Asset,E,,Yes,,12,,,,,,,,,,  
125005,Acciones,Acciones,Asset,E,,No,,1250,,,,,,,,,,  
125010,Cuotas o partes de interés social,Cuotas o partes de interés social,Asset,E,,No,,1250,,,,,,,,,,  
125015,Bonos,Bonos,Asset,E,,No,,1250,,,,,,,,,,  
125020,Cédulas,Cédulas,Asset,E,,No,,1250,,,,,,,,,,  
125025,Certificados,Certificados,Asset,E,,No,,1250,,,,,,,,,,  
125030,Papeles comerciales,Papeles comerciales,Asset,E,,No,,1250,,,,,,,,,,  
125035,Títulos,Títulos,Asset,E,,No,,1250,,,,,,,,,,  
125040,Aceptaciones bancarias o financieras,Aceptaciones bancarias o financieras,Asset,E,,No,,1250,,,,,,,,,,  
125095,Otros,Otros,Asset,E,,No,,1250,,,,,,,,,,  
125099,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1250,,,,,,,,,,  
