[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],Nivel,Tipo,Cuenta de la subcuenta,Desglose de la subcuenta,C/D de la subcuenta,Ultimo epigrafe,Izquierda(3),Sin signo,Orden,Order parent
63200,"Sociedades transparentes, efecto impositivo","Sociedades transparentes, efecto impositivo",Expense,B,,No,,632,6,S,632,#N/A,C,O,632,63200,1158,564
63300,"Ajustes negativos en la imposición sobre beneficios","Ajustes negativos en la imposición sobre beneficios",Expense,B,,No,,633,5,S,633,#N/A,C,O,633,63300,1159,688
63410,"Ajustes negativos en IVA de circulante","Ajustes negativos en IVA de circulante",Expense,B,,No,,6341,7,S,634,6341,B,O,634,63410,1160,566
63420,"Ajustes negativos en IVA de inversiones","Ajustes negativos en IVA de inversiones",Expense,B,,No,,6342,7,S,634,6342,B,O,634,63420,1161,567
63600,"Devolución de impuestos","Devolución de impuestos",Expense,B,,No,,636,6,S,636,#N/A,C,O,636,63600,1162,568
63700,"Imposición indirecta, regímenes especiales","Imposición indirecta, regímenes especiales",Expense,B,,No,,637,6,S,637,#N/A,C,O,637,63700,1163,569
63800,"Ajustes positivos en la imposición sobre beneficios","Ajustes positivos en la imposición sobre beneficios",Expense,B,,No,,638,5,S,638,#N/A,C,O,638,63800,1164,689
63910,"Ajustes positivos en IVA de circulante","Ajustes positivos en IVA de circulante",Expense,B,,No,,6391,7,S,639,6391,B,O,639,63910,1165,571
63920,"Ajustes positivos en IVA de inversiones","Ajustes positivos en IVA de inversiones",Expense,B,,No,,6392,7,S,639,6392,B,O,639,63920,1166,572
64000,"Sueldos y salarios","Sueldos y salarios",Expense,B,Yes,No,E_EXPENSE_ACCT,640,6,S,640,#N/A,C,O,640,64000,1167,529
64100,"Indemnizaciones","Indemnizaciones",Expense,B,,No,,641,6,S,641,#N/A,C,O,641,64100,1168,530
64200,"Seguridad Social a cargo de la empresa","Seguridad Social a cargo de la empresa",Expense,B,,No,,642,6,S,642,#N/A,C,O,642,64200,1169,532
64300,"Aportaciones a sistemas complementarios de pensiones","Aportaciones a sistemas complementarios de pensiones",Expense,B,,No,,643,6,S,643,#N/A,C,O,643,64300,1170,533
64900,"Otros gastos sociales","Otros gastos sociales",Expense,B,,No,,649,6,S,649,#N/A,C,O,649,64900,1171,534
65000,"Pérdidas de créditos comerciales incobrables","Pérdidas de créditos comerciales incobrables",Expense,B,Yes,No,CB_DIFFERENCES_ACCT,650,6,S,650,#N/A,C,O,650,65000,1172,544
65100,"Beneficio transferido (gestor)","Beneficio transferido (gestor)",Expense,B,,No,,6510,7,S,651,6510,B,O,651,65100,1173,575
65110,"Pérdida soportada (partícipe o asociado no gestor)","Pérdida soportada (partícipe o asociado no gestor)",Expense,B,,No,,6511,7,S,651,6511,B,O,651,65110,1174,576
65800,"Reintegro de subvenciones","Reintegro de subvenciones",Expense,B,,No,,658,6,S,658,#N/A,C,O,658,65800,1175,577
65900,"Otras pérdidas en gestión corriente","Otras pérdidas en gestión corriente",Expense,B,,No,,659,6,S,659,#N/A,C,O,659,65900,1176,578
66100,"Intereses de obligaciones y bonos a largo plazo en empresas del grupo","Intereses de obligaciones y bonos a largo plazo en empresas del grupo",Expense,B,,No,,6610,6,S,661,6610,B,O,661,66100,1177,584
66110,"Intereses de obligaciones y bonos a largo plazo en empresas asociadas","Intereses de obligaciones y bonos a largo plazo en empresas asociadas",Expense,B,,No,,6611,6,S,661,6611,B,O,661,66110,1178,591
66130,"Intereses de obligaciones y bonos a largo plazo en otras empresas","Intereses de obligaciones y bonos a largo plazo en otras empresas",Expense,B,,No,,6613,6,S,661,6613,B,O,661,66130,1179,598
66150,"Intereses de obligaciones y bonos a corto plazo en empresas del grupo","Intereses de obligaciones y bonos a corto plazo en empresas del grupo",Expense,B,,No,,6615,6,S,661,6615,B,O,661,66150,1180,585
66160,"Intereses de obligaciones y bonos a corto plazo en empresas asociadas","Intereses de obligaciones y bonos a corto plazo en empresas asociadas",Expense,B,,No,,6616,6,S,661,6616,B,O,661,66160,1181,592
66180,"Intereses de obligaciones y bonos a corto plazo en otras empresas","Intereses de obligaciones y bonos a corto plazo en otras empresas",Expense,B,,No,,6618,6,S,661,6618,B,O,661,66180,1182,599
66200,"Intereses de deudas a largo plazo con empresas del grupo","Intereses de deudas a largo plazo con empresas del grupo",Expense,B,,No,,6620,6,S,662,6620,B,O,662,66200,1183,586
66210,"Intereses de deudas a largo plazo con empresas asociadas","Intereses de deudas a largo plazo con empresas asociadas",Expense,B,,No,,6621,6,S,662,6621,B,O,662,66210,1184,593
66220,"Intereses de deudas a largo plazo con entidades de crédito","Intereses de deudas a largo plazo con entidades de crédito",Expense,B,,No,,6622,6,S,662,6622,B,O,662,66220,1185,600
66230,"Intereses de deudas a largo plazo con otras empresas","Intereses de deudas a largo plazo con otras empresas",Expense,B,,No,,6623,6,S,662,6623,B,O,662,66230,1186,601
66300,"Intereses de deudas a corto plazo con empresas del grupo","Intereses de deudas a corto plazo con empresas del grupo",Expense,B,,No,,6630,6,S,663,6630,B,O,663,66300,1187,587
66310,"Intereses de deudas a corto plazo con empresas asociadas","Intereses de deudas a corto plazo con empresas asociadas",Expense,B,,No,,6631,6,S,663,6631,B,O,663,66310,1188,594
66320,"Intereses de deudas a corto plazo con entidades de crédito","Intereses de deudas a corto plazo con entidades de crédito",Expense,B,,No,,6632,6,S,663,6632,B,O,663,66320,1189,602
66330,"Intereses de deudas a corto plazo con otras empresas","Intereses de deudas a corto plazo con otras empresas",Expense,B,,No,,6633,6,S,663,6633,B,O,663,66330,1190,603
66400,"Intereses por descuento de efectos en entidades de crédito del grupo","Intereses por descuento de efectos en entidades de crédito del grupo",Expense,B,,No,,6640,6,S,664,6640,B,O,664,66400,1191,588
66410,"Intereses por descuento de efectos en entidades de crédito asociadas","Intereses por descuento de efectos en entidades de crédito asociadas",Expense,B,,No,,6641,6,S,664,6641,B,O,664,66410,1192,595
66430,"Intereses por descuento de efectos en otras entidades de crédito","Intereses por descuento de efectos en otras entidades de crédito",Expense,B,,No,,6643,6,S,664,6643,B,O,664,66430,1193,604
66500,"Descuentos sobre ventas por pronto pago a empresas del grupo","Descuentos sobre ventas por pronto pago a empresas del grupo",Expense,B,Yes,No,PAYDISCOUNT_REV_ACCT,6650,6,S,665,6650,B,O,665,66500,1194,589
66510,"Descuentos sobre ventas por pronto pago a empresas asociadas","Descuentos sobre ventas por pronto pago a empresas asociadas",Expense,B,,No,,6651,6,S,665,6651,B,O,665,66510,1195,596
66530,"Descuentos sobre ventas por pronto pago a otras empresas","Descuentos sobre ventas por pronto pago a otras empresas",Expense,B,,No,,6653,6,S,665,6653,B,O,665,66530,1196,605
66600,"Pérdidas en valores negociables a largo plazo de empresas del grupo","Pérdidas en valores negociables a largo plazo de empresas del grupo",Expense,B,,No,,6660,7,S,666,6660,B,O,666,66600,1197,611
66610,"Pérdidas en valores negociables a largo plazo de empresas asociadas","Pérdidas en valores negociables a largo plazo de empresas asociadas",Expense,B,,No,,6661,7,S,666,6661,B,O,666,66610,1198,612
66630,"Pérdidas en valores negociables a largo plazo de otras empresas","Pérdidas en valores negociables a largo plazo de otras empresas",Expense,B,,No,,6663,7,S,666,6663,B,O,666,66630,1199,613
66650,"Pérdidas en valores negociables a corto plazo de empresas del grupo","Pérdidas en valores negociables a corto plazo de empresas del grupo",Expense,B,,No,,6665,7,S,666,6665,B,O,666,66650,1200,614
66660,"Pérdidas en valores negociables a corto plazo de empresas asociadas","Pérdidas en valores negociables a corto plazo de empresas asociadas",Expense,B,,No,,6666,7,S,666,6666,B,O,666,66660,1201,615
66680,"Pérdidas en valores negociables a corto plazo de otras empresas","Pérdidas en valores negociables a corto plazo de otras empresas",Expense,B,,No,,6668,7,S,666,6668,B,O,666,66680,1202,616
